,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Monaco","206.0","211.8","204.9","203.7","186.5","166.1","164.6","149.9","147.6","166.7","164.0","141.3","133.5","127.2","123.6","126.2","120.9","114.2"
"Mongolia","166.6","173.3","185.5","175.1","168.7","121.3","101.9","79.2","72.4","71.0","63.1","57.0","65.5","52.2","45.0","46.7","43.5","41.5"
"Morocco","236.3","227.0","223.1","223.6","216.4","216.4","214.0","208.9","192.0","175.8","165.9","154.1","136.7","120.7","107.0","95.5","85.7","77.3"
"Mozambique","4.6","4.7","4.4","4.3","4.4","4.3","3.9","3.8","4.0","3.9","4.1","4.2","3.9","3.9","3.8","3.5","2.8","2.8"
"Myanmar","219.3","210.0","197.7","138.1","101.8","75.3","53.7","53.7","57.3","51.7","43.9","39.2","38.8","33.7","29.5","26.0","21.2","18.8"
"Namibia","69.2","72.4","75.8","75.0","82.3","92.4","88.3","74.8","60.3","55.0","50.6","46.3","47.4","45.9","40.8","39.1","34.1","35.8"
"Nauru","12.1","14.4","13.3","9.6","7.6","5.6","12.2","16.5","18.6","29.6","20.0","22.9","22.6","29.3","28.1","28.3","29.4","30.4"
"Nepal","86.7","86.5","91.4","82.9","75.9","62.1","60.2","54.4","47.5","47.7","42.4","27.1","33.3","33.9","31.7","30.0","28.6","26.1"
"Netherlands","611.2","599.4","587.5","604.1","602.0","503.5","453.2","417.0","405.0","428.4","314.0","310.0","338.7","325.1","297.3","293.1","281.1","272.1"
"New Zealand","511.5","496.9","465.3","445.6","412.7","385.3","373.7","356.8","363.3","358.6","279.5","331.5","298.8","280.0","285.0","294.6","287.6","246.9"
"Nicaragua","165.0","156.1","149.2","142.5","135.0","127.9","119.3","114.1","111.3","115.2","110.2","94.6","81.6","79.3","69.4","74.2","62.7","62.8"
"Niger","37.7","36.1","36.0","30.6","30.5","31.2","30.8","30.6","34.1","31.5","30.6","30.7","29.6","28.4","28.7","27.8","26.7","25.3"
