,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Niger","29.3","22.7","26.0","25.2","24.7","22.9","25.0","23.9","27.1","26.2","22.3","21.4","20.3","16.1","14.6","12.4","11.1","10.6"
"Nigeria","73.9","79.4","97.8","107.9","102.5","92.6","84.4","76.7","69.0","81.2","70.0","66.5","54.5","44.6","39.4","18.2","18.6","17.7"
"Niue","1258.9","1083.7","1130.3","1696.8","1416.3","1270.6","2373.1","1361.5","1803.1","1724.6","1301.7","3696.4","866.0","1191.1","561.7","523.0","2540.2","332.7"
"Norway","7936.4","7496.8","7565.5","9118.3","9241.3","8970.1","8900.4","7859.5","7302.0","7768.1","6895.6","5893.0","5584.7","5097.3","4632.6","3890.0","3099.0","2948.9"
"Oman","587.6","645.1","706.4","721.9","592.5","564.4","535.3","529.1","475.0","444.2","383.4","332.9","320.2","301.4","287.8","274.4","261.3","263.5"
"Pakistan","44.6","41.0","37.9","36.5","31.6","28.5","28.5","26.6","25.3","27.0","29.8","26.1","20.7","16.2","15.0","15.7","14.0","16.0"
"Palau","1596.4","1674.6","1498.6","1402.1","1292.2","1183.0","1013.6","1037.8","932.2","924.9","955.5","912.9","868.3","831.4","705.2","667.8","638.9","675.7"
"Panama","1112.3","1040.4","927.8","883.7","790.1","705.2","619.1","579.5","529.9","489.8","427.0","350.4","304.7","326.3","287.9","292.8","281.7","286.1"
"Papua New Guinea","61.5","59.8","49.9","97.9","83.9","76.4","56.8","42.3","39.0","36.7","34.9","31.3","28.5","26.4","22.4","20.8","18.2","18.7"
"Paraguay","381.1","360.5","367.5","408.5","362.4","341.4","270.7","202.9","162.8","169.1","125.0","96.6","75.6","71.4","59.0","54.8","79.2","91.9"
"Peru","332.6","310.0","306.8","326.2","310.9","304.2","265.5","239.3","207.4","189.0","159.1","142.0","123.3","117.2","112.0","105.8","97.5","89.5"
"Philippines","132.9","130.0","124.4","117.3","123.2","112.9","98.9","91.8","79.5","77.3","65.6","54.9","46.6","34.2","32.3","27.3","28.2","32.8"
"Poland","906.8","813.5","804.0","911.3","878.1","815.1","866.1","809.2","759.6","892.6","660.9","524.1","465.7","392.0","339.3","315.8","282.8","238.0"
