,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Lebanon","8.2","7.8","7.7","7.8","7.6","7.9","8.1","7.4","7.0","7.8","8.5","8.7","7.6","8.0","8.7","9.3","10.6","10.8"
"Lesotho","8.8","7.9","8.4","8.6","9.0","8.6","8.8","7.6","8.4","7.2","6.8","5.7","5.1","5.6","5.6","6.0","6.4","5.9"
"Liberia","8.2","9.8","10.3","9.1","8.2","8.6","9.2","8.8","9.4","7.4","9.3","7.4","8.9","7.8","3.1","2.8","3.3","4.0"
"Libya","","","","","","","6.1","3.6","4.3","2.6","2.4","2.5","2.6","3.5","4.1","4.9","4.1","3.4"
"Lithuania","6.5","6.6","6.5","6.2","6.1","6.3","6.5","6.8","7.4","6.3","5.8","5.8","5.6","5.5","6.2","6.1","6.0","6.2"
"Luxembourg","5.5","5.5","5.5","5.6","5.7","6.6","6.1","7.0","7.3","6.5","6.2","6.7","7.2","7.3","7.0","6.7","6.4","5.9"
"Madagascar","5.5","6.1","5.7","5.1","4.2","4.4","5.2","5.3","5.0","4.7","5.2","5.9","6.0","6.1","5.5","5.8","5.6","5.2"
"Malawi","9.6","9.7","9.3","9.7","11.6","8.5","7.5","7.2","8.3","8.6","7.7","6.9","6.1","5.7","4.7","3.8","3.0","3.4"
"Malaysia","3.9","3.8","3.9","3.8","3.6","3.5","3.4","3.2","3.3","3.1","3.1","3.2","2.8","2.9","3.0","2.7","2.7","2.6"
"Maldives","9.0","10.2","8.7","7.9","8.1","8.7","7.9","8.5","10.1","11.5","8.3","8.0","8.8","7.5","6.8","8.8","8.2","7.7"
"Mali","3.8","3.8","4.1","4.5","4.0","3.7","3.9","4.6","5.1","4.9","5.1","5.3","5.1","5.3","5.2","5.0","5.2","5.6"
"Malta","9.3","9.2","9.2","9.4","8.8","8.6","8.6","8.2","8.1","8.0","8.2","8.8","8.7","8.1","7.9","7.7","7.0","6.6"
"Marshall Islands","16.4","17.9","17.6","14.9","14.8","14.5","14.8","15.2","16.1","16.9","17.5","21.5","21.6","17.5","14.7","15.1","17.2","19.7"
"Mauritania","4.4","4.1","4.7","4.3","3.7","3.4","3.2","3.4","4.0","3.9","3.7","3.5","4.6","4.8","5.3","5.4","4.8","4.7"
"Mauritius","5.7","5.7","5.7","5.5","4.7","4.3","4.3","4.6","4.2","4.0","3.6","3.7","3.6","3.4","3.2","3.2","3.0","2.9"
"Mexico","5.5","5.6","5.8","5.6","5.9","5.8","5.7","6.0","6.1","5.7","5.8","5.7","5.8","6.0","5.8","5.1","4.8","4.4"
"Micronesia (Federated States of)","12.4","12.6","12.5","11.8","12.2","12.3","13.1","13.1","12.6","12.0","11.1","10.7","17.7","12.0","9.6","7.9","8.5","7.8"
"Monaco","1.8","1.7","2.0","2.1","2.1","2.2","2.2","2.3","2.3","1.9","1.8","2.0","2.1","2.1","2.1","1.8","1.8","1.7"
"Mongolia","4.0","4.4","4.2","4.2","4.1","3.9","3.6","3.7","4.5","4.6","4.1","3.7","3.8","3.6","3.5","4.4","4.3","4.9"
"Morocco","5.2","5.2","5.1","5.3","5.7","5.7","5.7","5.9","5.8","5.3","5.4","4.9","4.8","4.7","4.6","4.4","4.1","4.0"
"Mozambique","4.9","5.1","5.3","6.0","5.4","5.2","4.5","5.1","5.0","4.6","5.5","6.2","6.4","5.0","5.3","5.1","5.1","3.9"
"Myanmar","4.7","4.8","5.2","4.1","3.0","2.3","1.8","1.8","2.0","1.9","1.7","1.9","2.0","2.1","2.0","2.1","1.8","1.8"
"Namibia","8.6","9.1","9.9","8.4","8.9","9.5","9.8","9.7","9.0","9.9","10.8","10.2","10.3","10.3","10.0","9.9","9.6","9.8"
"Nauru","11.0","13.9","13.3","9.1","8.4","7.5","8.2","10.4","10.4","19.5","25.5","14.4","12.6","11.6","14.4","15.6","14.3","13.5"
"Nepal","5.6","6.3","6.2","5.8","5.3","5.2","5.1","5.0","4.5","4.4","4.2","4.0","4.5","4.6","4.4","4.5","4.3","3.6"
