,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Iraq","","","494.8","438.5","445.1","401.0","370.2","402.4","448.5","356.2","338.7","260.1","281.0","355.0","181.6","","",""
"Ireland","5544.7","5268.3","5085.0","4962.4","4948.7","4954.6","4813.0","4557.8","4378.4","4059.5","3697.9","3372.9","3128.9","2822.6","2560.5","2369.7","2100.9","1795.1"
"Israel","3014.6","2867.0","2615.2","2532.0","2491.0","2316.9","2186.7","2079.1","2001.6","1968.5","1963.2","1853.3","1856.6","1865.5","1779.3","1898.6","1891.6","1773.4"
"Italy","3619.7","3465.3","3307.3","3250.8","3264.3","3253.4","3212.0","3139.1","3103.1","3040.1","2785.3","2738.9","2516.8","2419.0","2291.8","2263.5","2170.6","2049.4"
"Jamaica","542.9","506.8","489.2","445.4","436.2","408.2","399.6","392.3","377.8","447.5","419.2","353.8","332.4","380.3","318.4","322.8","341.1","362.7"
"Japan","4563.5","4425.0","4368.7","4214.5","4177.5","3988.3","3778.2","3191.7","2995.1","2842.5","2711.6","2572.0","2452.8","2315.6","2195.4","2097.0","2012.7","1908.8"
"Jordan","756.7","658.3","695.9","675.5","667.4","730.4","768.6","778.4","896.5","816.7","742.3","677.0","694.2","653.6","607.2","617.9","599.5","552.4"
"Kazakhstan","820.4","860.2","756.3","667.5","675.8","680.4","568.6","537.0","639.6","552.9","470.0","533.6","542.1","493.7","413.9","363.5","314.5","324.3"
"Kenya","158.2","158.6","158.1","158.8","153.6","148.9","148.6","148.3","136.9","135.7","135.3","124.2","117.9","111.7","103.2","96.5","93.8","87.2"
"Kiribati","234.9","202.8","166.5","188.4","180.9","157.9","150.1","158.2","235.7","247.7","205.3","203.1","200.8","203.5","176.3","192.7","192.5","136.3"
"Kuwait","3796.7","2914.5","2936.0","2393.3","1986.4","2036.0","2028.0","2031.0","3069.4","1739.8","1946.4","1989.7","1978.5","2082.1","2182.3","2039.9","2001.9","1393.6"
"Kyrgyzstan","241.2","233.9","251.1","250.0","266.6","249.5","207.9","190.9","190.9","176.8","172.3","187.7","159.9","130.2","111.7","81.0","74.8","72.2"
"Lao People's Democratic Republic","177.9","154.8","150.8","132.0","127.3","101.5","89.5","126.7","145.9","108.2","117.7","101.3","103.1","101.0","117.8","91.5","95.5","87.2"
"Latvia","1682.3","1598.3","1405.8","1296.1","1217.7","1146.0","1093.9","1067.9","1028.1","1085.9","1041.7","899.9","807.6","756.4","602.4","578.3","518.5","434.3"
"Lebanon","1185.3","1105.9","1090.0","1141.1","1141.8","1222.2","1278.6","1199.5","1068.3","1091.9","1081.8","982.8","832.9","859.1","862.9","934.5","1061.8","1067.0"
"Lesotho","265.5","238.2","246.4","251.4","255.9","235.1","224.7","185.4","197.3","165.9","149.7","99.8","84.4","88.5","87.2","87.8","95.4","84.9"
"Liberia","104.7","123.0","133.4","119.4","108.2","105.1","105.2","93.6","96.8","76.5","85.1","61.8","65.4","58.9","21.7","26.2","30.4","37.3"
"Libya","","","","","","","627.3","958.1","970.0","562.0","610.7","605.3","603.8","693.6","846.4","852.3","809.0","696.5"
"Lithuania","2132.6","1999.1","1861.5","1739.0","1629.1","1542.2","1472.8","1349.9","1326.0","1298.5","1093.3","956.5","811.6","712.9","742.2","641.8","565.0","521.8"
"Luxembourg","5956.5","5804.1","5697.8","5695.6","5486.8","6091.2","5694.4","6078.3","6091.5","5725.2","5277.9","5268.9","4941.7","4737.3","4217.5","3979.3","3604.0","3286.7"
"Madagascar","85.5","91.9","83.8","73.7","59.9","61.6","70.9","72.2","68.9","69.0","71.7","76.5","74.3","72.4","62.0","59.7","67.1","59.9"
"Malawi","114.8","114.7","109.0","111.9","127.5","89.9","78.8","73.3","79.7","78.3","65.6","54.2","45.3","41.4","32.0","24.6","33.4","39.9"
"Malaysia","1139.0","1053.6","1040.6","964.6","860.3","816.5","739.4","667.6","664.4","632.3","610.2","578.6","485.8","485.8","461.6","398.6","380.9","356.0"
"Maldives","1506.9","1593.7","1279.9","1147.9","1109.4","1114.8","1003.4","998.1","1124.0","1404.1","935.0","841.2","728.8","707.7","604.3","639.9","562.7","768.7"
"Mali","84.2","80.3","84.3","88.3","73.8","67.7","74.0","84.5","90.3","85.6","86.0","87.0","79.2","78.2","75.6","67.4","68.7","64.5"
"Malta","3943.1","3552.2","3383.8","3165.3","2766.5","2548.9","2455.2","2286.5","2120.1","2093.5","2050.7","2054.0","1938.3","1738.5","1656.0","1515.6","1301.6","1210.8"
"Marshall Islands","709.7","732.4","693.6","587.1","575.1","540.9","527.0","529.1","516.8","549.2","572.3","660.1","631.9","479.1","394.4","395.3","431.4","456.5"
"Mauritania","170.1","157.5","181.9","165.5","136.5","120.6","109.2","111.2","126.3","126.7","121.0","110.3","121.6","116.2","121.9","117.8","106.4","101.4"
"Mauritius","1278.0","1208.3","1152.2","1063.0","858.5","746.6","714.2","716.4","627.8","571.7","478.0","452.8","427.9","387.2","346.0","323.1","287.8","270.5"
"Mexico","1035.6","1020.0","1026.0","984.4","1000.9","973.2","915.0","886.8","868.9","829.2","804.4","762.9","721.9","702.9","651.5","552.9","522.1","479.7"
"Micronesia (Federated States of)","493.2","447.1","437.6","390.4","405.1","419.5","447.6","424.0","391.3","365.0","336.1","321.5","513.5","329.5","262.7","208.8","218.8","191.7"
"Monaco","2991.1","3017.8","3405.2","3466.8","3249.4","3004.1","2888.0","2795.5","2687.2","2607.5","2399.3","2330.4","2300.6","2214.5","2101.5","1852.6","1744.2","1629.2"
"Mongolia","518.1","542.2","516.6","502.5","452.2","384.6","318.5","282.4","318.0","331.6","270.8","223.1","202.1","204.5","179.5","210.3","194.5","210.1"
"Morocco","438.1","417.9","401.2","402.7","418.8","403.9","389.1","375.6","360.7","315.6","302.4","262.3","230.7","217.2","196.4","178.8","161.0","142.9"
"Mozambique","61.8","62.6","62.9","68.1","58.2","52.9","42.8","46.0","42.5","37.6","42.5","44.0","41.8","30.2","29.6","26.8","24.3","16.8"
"Myanmar","287.6","272.9","280.7","209.1","140.9","98.1","69.6","66.5","69.7","62.7","53.4","52.2","47.0","42.8","35.5","31.6","24.7","22.0"
"Namibia","895.4","965.7","1058.3","852.7","856.8","868.8","856.6","805.5","709.8","782.2","821.7","744.0","687.1","656.4","561.2","527.4","489.4","486.8"
"Nauru","1309.6","1556.5","1381.2","928.0","708.4","714.0","660.8","708.9","585.4","1348.6","868.5","579.4","509.5","598.8","725.8","732.2","746.8","740.7"
"Nepal","150.1","156.0","153.7","138.1","119.5","110.8","103.1","96.8","82.5","77.4","69.5","63.8","67.6","65.6","59.0","57.7","55.9","46.8"
"Netherlands","5513.1","5304.1","5205.2","5213.5","5219.3","4989.3","4779.4","4585.0","4465.5","4316.8","3979.7","3723.1","3425.7","3264.3","3095.6","2987.5","2685.2","2466.1"
"New Zealand","3767.5","3660.6","3481.5","3467.7","3335.7","3141.4","3088.9","2983.4","2940.1","2709.6","2439.9","2395.6","2123.6","1985.0","1853.1","1834.5","1693.3","1607.1"
"Nicaragua","506.2","487.0","423.6","405.0","360.4","347.1","314.2","278.2","283.9","275.6","260.8","214.4","203.3","187.7","155.9","161.6","154.6","143.0"
"Niger","78.9","61.7","69.6","55.9","53.9","51.3","53.3","54.8","60.3","58.2","55.4","59.1","55.1","45.2","44.6","44.4","42.2","39.8"
"Nigeria","221.1","214.6","217.5","201.2","194.8","181.7","174.6","166.7","170.6","159.8","154.9","156.9","157.7","151.7","155.2","72.0","80.9","75.9"
